"filename", "language", "JavaScript", "JSON with Comments", "XML", "Markdown", "CSS", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\style.module.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\components\blackBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\components\offeringCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 8, 68
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\tabs\style.module.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\capture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\components\blackBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\components\offeringCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 1, 11, 77
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\visualDiagnosis\style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 1, 2, 21
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\_document.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\auth\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\auth\otp_verification.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\auth\register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\services\visual_diagnosis\capture.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\services\visual_diagnosis\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\services\visual_diagnosis\receipt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\pages\test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 13, 43
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 278, 1, 279
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\styles\globals.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 0, 99, 5, 131
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\tsconfig.json", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 3, 1, 26
"Total", "-", 8, 22, 216, 23, 242, 1964, 10, 60, 396, 292, 3233
